k,tones,rating,scalar_roughness,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
3,0_3_12,2.8,2.5360266292655,0.0,0.0,1.665849098842042,0.0,0.0,0.0,0.0,0.0,0.8307060411262993,0.0,0.0,0.03947148929715851
3,0_4_5,2.13333333333333,5.335974148881905,2.848740064837144,0.0,0.0,1.4822963848990902,1.0049376991456713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0_4_6,1.9,4.801104918277693,0.0,1.8185215656455418,0.0,1.4822963848990902,0.0,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
3,0_4_7,3.8,3.36007314178584,0.0,0.0,1.3608425264869992,1.4822963848990902,0.0,0.0,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
3,0_4_8,1.93333333333333,4.153591941584903,0.0,0.0,0.0,2.7205525766769023,0.0,0.0,0.0,1.4330393649080009,0.0,0.0,0.0,0.0
3,0_4_9,3.03333333333333,3.228710928575414,0.0,0.0,0.0,1.4822963848990902,0.7759602675061731,0.0,0.0,0.0,0.9704542761701506,0.0,0.0,0.0
3,0_4_10,2.43333333333333,4.004742625306948,0.0,0.0,0.0,1.4822963848990902,0.0,1.3036001226321257,0.0,0.0,0.0,1.218846117775732,0.0,0.0
3,0_4_11,2.6,3.528972899231547,0.0,0.0,0.0,1.4822963848990902,0.0,0.0,0.38901352944838996,0.0,0.0,0.0,1.6576629848840672,0.0
3,0_4_12,3.53333333333333,2.787607234988088,0.0,0.0,0.0,1.4822963848990902,0.0,0.0,0.0,1.2658393607918392,0.0,0.0,0.0,0.03947148929715851
3,0_5_6,1.36666666666667,5.322928662161907,2.8177039952831753,0.0,0.0,0.0,1.0049376991456713,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
3,0_5_7,3.13333333333333,3.2610941936961293,0.0,1.7392222641507078,0.0,0.0,1.0049376991456713,0.0,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
3,0_5_8,2.8,3.7317142238531478,0.0,0.0,1.2937371597994753,0.0,1.0049376991456713,0.0,0.0,1.4330393649080009,0.0,0.0,0.0,0.0
3,0_5_9,3.63333333333333,3.1628654034109864,0.0,0.0,0.0,1.1874734280951647,1.0049376991456713,0.0,0.0,0.0,0.9704542761701506,0.0,0.0,0.0
3,0_5_10,2.36666666666667,2.9535590178767297,0.0,0.0,0.0,0.0,1.7347129001009973,0.0,0.0,0.0,0.0,1.218846117775732,0.0,0.0
3,0_5_11,2.3,3.924910251963589,0.0,0.0,0.0,0.0,1.0049376991456713,1.2623095679338503,0.0,0.0,0.0,0.0,1.6576629848840672,0.0
3,0_5_12,3.66666666666667,1.4100882877741265,0.0,0.0,0.0,0.0,1.0049376991456713,0.0,0.36567909933129666,0.0,0.0,0.0,0.0,0.03947148929715851
3,0_6_7,1.66666666666667,4.802749326649861,2.7855281285170506,0.0,0.0,0.0,0.0,1.5002869677330604,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
3,0_6_8,2.63333333333333,4.59530475761327,0.0,1.6619784249722085,0.0,0.0,0.0,1.5002869677330604,0.0,1.4330393649080009,0.0,0.0,0.0,0.0
3,0_6_9,2.23333333333333,3.7010080490861355,0.0,0.0,1.2302668051829246,0.0,0.0,1.5002869677330604,0.0,0.0,0.9704542761701506,0.0,0.0,0.0
3,0_6_10,1.93333333333333,3.859628373633788,0.0,0.0,0.0,1.140495288124996,0.0,1.5002869677330604,0.0,0.0,0.0,1.218846117775732,0.0,0.0
3,0_6_11,1.9,3.8454556964242492,0.0,0.0,0.0,0.0,0.6875057438071216,1.5002869677330604,0.0,0.0,0.0,0.0,1.6576629848840672,0.0
